log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,KEGG_pathway,KEGG_Pathway_Name,Level1,Level2
0.113691393,0.071907122,0.113858217,0.15340312,Bacteria,Firmicutes,ko04152,AMPK signaling pathway,Environmental Information Processing,Signal transduction
0.018844848,0.072902536,0.796025886,0.832660871,Bacteria,Firmicutes,ko05230,Central carbon metabolism in cancer,Human Diseases,Cancer: overview
0.437302439,0.106431136,3.98e-05,9.86e-05,Bacteria,Bacteroidetes,ko00030,Pentose phosphate pathway,Metabolism,Carbohydrate metabolism
0.495031851,0.109803874,6.53e-06,1.89e-05,Bacteria,Bacteroidetes,ko00051,Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
0.53922654,0.100795039,8.81e-08,4.26e-07,Bacteria,Bacteroidetes,ko00680,Methane metabolism,Metabolism,Energy metabolism
0.513655062,0.108786198,2.34e-06,7.74e-06,Bacteria,Bacteroidetes,ko03018,RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
0.297673133,0.129342171,0.021366822,0.032972468,Bacteria,Bacteroidetes,ko04152,AMPK signaling pathway,Environmental Information Processing,Signal transduction
0.380983008,0.119297151,0.001405285,0.002668029,Bacteria,Bacteroidetes,ko05230,Central carbon metabolism in cancer,Human Diseases,Cancer: overview
-0.791286335,0.152883735,2.27e-07,9.79e-07,Bacteria,Proteobacteria,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism
0.147613103,0.075566232,0.050769042,0.072703461,Bacteria,Firmicutes,ko00740,Riboflavin metabolism,Metabolism,Metabolism of cofactors and vitamins
-0.46526889,0.105683876,1.07e-05,2.96e-05,Bacteria,Actinobacteria,ko00740,Riboflavin metabolism,Metabolism,Metabolism of cofactors and vitamins
0.147427546,0.06253544,0.01839826,0.028924538,Bacteria,Firmicutes,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism,Amino acid metabolism
0.108583123,0.064122249,0.090383784,0.123752668,Bacteria,Firmicutes,ko00401,Novobiocin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
-0.900996393,0.127346698,1.49e-12,2.33e-11,Bacteria,Proteobacteria,ko04212,Longevity regulating pathway - worm,Organismal Systems,Aging
0.003161151,0.129473627,0.98052126,0.982992643,Bacteria,Spirochaetes,ko00860,Porphyrin and chlorophyll metabolism,Metabolism,Metabolism of cofactors and vitamins
0.200037543,0.107855542,0.063641902,0.089053883,Bacteria,Spirochaetes,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
0.572321409,0.092365592,5.78e-10,5.14e-09,Bacteria,Spirochaetes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
0.513848689,0.086942033,3.42e-09,2.38e-08,Bacteria,Spirochaetes,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
0.512438356,0.082084614,4.3e-10,3.98e-09,Bacteria,Spirochaetes,ko01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
-0.858691822,0.167416078,2.91e-07,1.24e-06,Bacteria,Proteobacteria,ko00540,Lipopolysaccharide biosynthesis,Metabolism,Glycan biosynthesis and metabolism
0.674870702,0.122172884,3.32e-08,1.77e-07,Bacteria,Bacteroidetes,ko03430,Mismatch repair,Genetic Information Processing,Replication and repair
-1.207988038,0.218087509,3.04e-08,1.65e-07,Bacteria,Proteobacteria,ko00623,Toluene degradation,Metabolism,Xenobiotics biodegradation and metabolism
-0.713356947,0.120841888,3.56e-09,2.46e-08,Bacteria,Proteobacteria,ko00625,Chloroalkane and chloroalkene degradation,Metabolism,Xenobiotics biodegradation and metabolism
-0.841368922,0.127637471,4.34e-11,4.87e-10,Bacteria,Proteobacteria,ko01220,Degradation of aromatic compounds,Metabolism,Global and overview maps
0.031985653,0.061044081,0.600295012,0.651479784,Bacteria,Firmicutes,ko00350,Tyrosine metabolism,Metabolism,Amino acid metabolism
-0.035649577,0.067687461,0.598416389,0.65077271,Bacteria,Firmicutes,ko00625,Chloroalkane and chloroalkene degradation,Metabolism,Xenobiotics biodegradation and metabolism
-0.019805105,0.075655311,0.793490473,0.83055483,Bacteria,Firmicutes,ko00626,Naphthalene degradation,Metabolism,Xenobiotics biodegradation and metabolism
0.0393874,0.063404364,0.534461726,0.590096187,Bacteria,Firmicutes,ko01220,Degradation of aromatic compounds,Metabolism,Global and overview maps
