Unnamed: 0,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,Index,Mass (m/z),Retention time,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,precursor_mass,id,stat.gut,index.gut,p.value.gut,groups.gut,stat.diet,index.diet,p.value.diet,groups.diet,stat.Order,index.Order,p.value.Order,groups.Order,stat.HostSpecies,index.HostSpecies,p.value.HostSpecies,groups.HostSpecies
1285_415.319_6.79,Bile acids,THCA (C27) 1,"THCA 3a,7a,12a-trihydroxy-5ﬂ-cholestanoic acid (precursor to cholic acid in biosynthetic pathway)",Steroids_and_steroid_derivatives,"Trihydroxy_bile_acids,_alcohols_and_derivatives",88.0,"Bile_acids,_alcohols_and_derivatives",Lipids_and_lipid-like_molecules,,1285,415.319,6.79,Connected,,,6.7901,,0.01105483,42,137,415.3188,1285_415.319_6.79,0.785012188,1,1.0,s.Foregut,0.957269026,1,0.00298,s.Carnivores,0.871271407,10,0.04147,"s.Carnivora,s.Artiodactyla",0.75084347,278,1.0,"s.Leopard,s.Tiger"
17867_595.346_5.817,Bile pigments,Bilirubin 1 (m/z 595.35),Based on GNPS ID in cluster,Tetrapyrroles_and_derivatives,Bilirubins,66.0,Bilirubins,Organoheterocyclic_compounds,,17867,595.346,5.817,Connected,,,5.8169,,0.00910256,9,240,595.346,17867_595.346_5.817,0.343325872,3,1.0,s.Simplegut,0.645547956,1,0.02086,s.Carnivores,0.481356219,2,1.0,s.Carnivora,0.674488059,263,1.0,"s.Jungle_cat,s.Tiger"
7156_303.169_5.826,Bile pigments,Bilirubin 2 (m/z 303.169),Based on GNPS ID in cluster,Tetrapyrroles_and_derivatives,Bilirubins,66.0,Bilirubins,Organoheterocyclic_compounds,,7156,303.169,5.826,Connected,,,5.8265,,0.003413834,16,240,303.1688,7156_303.169_5.826,0.510189015,3,1.0,s.Simplegut,0.911807744,1,0.00298,s.Carnivores,0.742906859,2,0.37323,s.Carnivora,0.904050214,278,1.0,"s.Leopard,s.Tiger"
6353_249.123_2.703,Hormones,Cyclic 3-Hydroxymelatonin,"Cyclic 3-hydroxymelatonin, predicted from NAP",no_matches,no_matches,2.0,no_matches,no_matches,,6353,249.123,2.703,Connected,,,2.7027,,0.007105064,17,5433,249.1227,6353_249.123_2.703,0.528810586,3,1.0,s.Simplegut,0.819958881,1,0.00298,s.Carnivores,0.687451066,2,0.64757,s.Carnivora,0.847219382,254,1.0,"s.Israeli_Wolf,s.Tiger"
7148_236.127_4.392,N-acyl AA,Butyryl-Phe,Butyryl-Phe. See Fig. S6.,no_matches,no_matches,87.0,no_matches,no_matches,,7148,236.127,4.392,Connected,,,4.3922,,0.005460053,18,179,236.1272,7148_236.127_4.392,0.544057475,3,1.0,s.Simplegut,0.915542415,1,0.00298,s.Carnivores,0.741495044,2,0.25839,s.Carnivora,0.808972313,278,1.0,"s.Leopard,s.Tiger"
7316_188.128_3.7,N-acyl AA,Butyryl-Val,Butyryl-Val. See Fig. S6.,no_matches,no_matches,87.0,no_matches,no_matches,,7316,188.128,3.7,Connected,,,3.7005,,0.005314251,18,179,188.1275,7316_188.128_3.7,0.561951487,3,1.0,s.Simplegut,0.939185029,1,0.00298,s.Carnivores,0.743343998,2,0.11484,s.Carnivora,0.739678429,248,1.0,"s.Israeli_Wolf,s.Leopard"
8160_447.272_4.298,Peptides,Cyc. Peptide 1 (m/z 447.272),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34.0,no_matches,no_matches,,8160,447.272,4.298,Connected,,,4.2981,,0.022818765,24,568,447.272,8160_447.272_4.298,0.648885685,3,1.0,s.Simplegut,0.507568325,6,1.0,"s.Herbivores,s.Omnivores",0.852525325,5,0.01914,s.Primates,0.941972447,152,0.00319,"s.Chimp,s.Gorilla"
10292_463.267_4.365,Peptides,Cyc. Peptide 2 (m/z 463.267),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34.0,no_matches,no_matches,,10292,463.267,4.365,Connected,,,4.365,,0.018000254,27,568,463.2669,10292_463.267_4.365,0.688247202,3,1.0,s.Simplegut,0.540499365,6,1.0,"s.Herbivores,s.Omnivores",0.845326619,5,0.02233,s.Primates,0.90660333,152,0.24244,"s.Chimp,s.Gorilla"
10310_481.277_4.297,Peptides,Cyc. Peptide 3 (m/z 481.277),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34.0,no_matches,no_matches,,10310,481.277,4.297,Connected,,,4.2972,,0.02805664,24,568,481.2775,10310_481.277_4.297,0.648885685,3,1.0,s.Simplegut,0.522232968,6,1.0,"s.Herbivores,s.Omnivores",0.874412308,5,0.01276,s.Primates,0.854654096,229,1.0,"s.Gorilla,s.Mandrill"
3685_481.278_4.371,Peptides,Cyc. Peptide 4 (m/z 481.278),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34.0,no_matches,no_matches,,3685,481.278,4.371,Connected,,,4.3713,,0.153054392,26,568,481.2775,3685_481.278_4.371,0.675381634,3,1.0,s.Simplegut,0.532144361,6,1.0,"s.Herbivores,s.Omnivores",0.912386625,5,0.00319,s.Primates,0.92537901,152,0.00319,"s.Chimp,s.Gorilla"
10281_498.304_4.368,Peptides,Cyc. Peptide 5 (m/z 498.304),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34.0,no_matches,no_matches,,10281,498.304,4.368,Connected,,,4.3683,,0.023210257,23,568,498.3042,10281_498.304_4.368,0.635223403,3,1.0,s.Simplegut,0.511237358,6,1.0,"s.Herbivores,s.Omnivores",0.875595036,5,0.00957,s.Primates,0.932723198,152,0.00319,"s.Chimp,s.Gorilla"
7093_416.314_6.076,Unsat. LCFA,Unsat. LCFA 1 (m/z 416.314),"Myxalamide A. NAP, high confidence",no_matches,no_matches,2.0,no_matches,no_matches,,7093,416.314,6.076,Connected,,,6.0759,,0.004367294,19,2401,416.3136,7093_416.314_6.076,0.577350269,3,1.0,s.Simplegut,0.9911703,1,0.00298,s.Carnivores,0.733039534,2,0.23287,s.Carnivora,0.782592445,254,1.0,"s.Israeli_Wolf,s.Tiger"
13866_184.133_2.524,Flavonoids,Flavonoid 1 (m/z 184.139),Flavonol. In silico/MolNetEnhancer.,Flavonoids,Flavonols,66.0,Flavones,Phenylpropanoids_and_polyketides,,13866,184.133,2.524,Connected,,,2.5243,,0.010642931,7,43,184.1328,13866_184.133_2.524,0.350438322,3,1.0,s.Simplegut,0.733799386,1,0.00298,s.Carnivores,0.509175077,2,1.0,s.Carnivora,0.897622842,244,1.0,"s.Hyena,s.Tiger"
289_349.127_2.727,Flavonoids,Flavonoid 2 (m/z 349.127),In silico NAP ID. ,no_matches,no_matches,8.0,no_matches,no_matches,,289,349.127,2.727,Connected,,,2.7266,,0.180041045,39,2367,349.127,289_349.127_2.727,0.904534034,4,0.00294,"s.Foregut,s.Hindgut",0.848528137,2,0.00298,s.Herbivores,1.0,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.818949198,220,0.00319,"s.Goat,s.Sheep"
439_313.106_4.908,Flavonoids,Flavonoid 3 (m/z 313.106),O-methylated flavonoid based on NAP.,Flavonoids,8-O-methylated_flavonoids,10.0,O-methylated_flavonoids,Phenylpropanoids_and_polyketides,,439,313.106,4.908,Connected,,,4.9076,,0.015063905,42,926,313.1057,439_313.106_4.908,0.94151577,1,0.00294,s.Foregut,0.883176087,2,0.00298,s.Herbivores,0.973993716,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.917172985,220,0.00319,"s.Goat,s.Sheep"
304_447.309_7.242,Triterpenoids,Oat straw 1 (m/z 447.309),,no_matches,no_matches,87.0,no_matches,no_matches,,304,447.309,7.242,Connected,,,7.2424,,0.034250686,42,82,447.3089,304_447.309_7.242,0.903477191,4,0.00882,"s.Foregut,s.Hindgut",0.841526388,2,0.00298,s.Herbivores,0.997890229,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.790146261,218,0.0319,"s.Goat,s.Rhino"
277_433.329_7.715,Triterpenoids,Oat straw 2 (m/z 433.329),,no_matches,no_matches,87.0,no_matches,no_matches,,277,433.329,7.715,Connected,,,7.7149,,0.695360011,53,82,433.3294,277_433.329_7.715,0.916224327,4,0.00294,"s.Foregut,s.Hindgut",0.886360488,2,0.00298,s.Herbivores,0.998197191,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.835678584,220,0.00319,"s.Goat,s.Sheep"
341_447.309_7.748,Triterpenoids,Oat straw 3 (m/z 447.3294),,no_matches,no_matches,87.0,no_matches,no_matches,,341,447.309,7.748,Connected,,,7.7477,,0.033590403,39,82,447.309,341_447.309_7.748,0.909188571,1,0.00588,s.Foregut,0.797287773,2,0.00298,s.Herbivores,0.980809713,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.822294152,220,0.00638,"s.Goat,s.Sheep"
314_433.329_7.849,Triterpenoids,Oat straw 4 (m/z 433.3294),,no_matches,no_matches,87.0,no_matches,no_matches,,314,433.329,7.849,Connected,,,7.8485,,0.111218696,45,82,433.3294,314_433.329_7.849,0.965541203,1,0.00294,s.Foregut,0.892608388,2,0.00298,s.Herbivores,0.998989993,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.937440837,220,0.00319,"s.Goat,s.Sheep"
379_431.314_7.856,Triterpenoids,Oat straw 5 (m/z 431.314),,no_matches,no_matches,87.0,no_matches,no_matches,,379,431.314,7.856,Connected,,,7.8563,,0.044123919,46,82,431.3138,379_431.314_7.856,0.931638427,1,0.00294,s.Foregut,0.838855811,2,0.00298,s.Herbivores,0.993727537,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.822764015,220,1.0,"s.Goat,s.Sheep"
288_433.329_7.978,Triterpenoids,Oat straw 6 (m/z 433.329),,no_matches,no_matches,87.0,no_matches,no_matches,,288,433.329,7.978,Connected,,,7.978,,0.312173897,43,82,433.3294,288_433.329_7.978,0.92526659,1,0.00294,s.Foregut,0.86994551,2,0.00298,s.Herbivores,0.999467454,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.859823602,220,0.00319,"s.Goat,s.Sheep"
372_415.319_8.194,Triterpenoids,Oat straw 7  (m/z 415.319),,no_matches,no_matches,87.0,no_matches,no_matches,,372,415.319,8.194,Connected,,,8.1944,,0.05326275,43,82,415.3188,372_415.319_8.194,0.954822546,1,0.00294,s.Foregut,0.841996515,2,0.00298,s.Herbivores,0.998312648,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.929639917,220,0.00319,"s.Goat,s.Sheep"
1935_433.329_8.196,Triterpenoids,Oat straw 8  (m/z 433.329),,no_matches,no_matches,87.0,no_matches,no_matches,,1935,433.329,8.196,Connected,,,8.196,,0.849561093,54,82,433.3294,1935_433.329_8.196,0.928691034,4,0.00294,"s.Foregut,s.Hindgut",0.92406916,2,0.00298,s.Herbivores,0.998339397,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.841289615,220,0.00319,"s.Goat,s.Sheep"
347_431.314_8.3,Triterpenoids,Oat straw 9  (m/z 431.314),,no_matches,no_matches,87.0,no_matches,no_matches,,347,431.314,8.3,Connected,,,8.3004,,0.094257966,40,82,431.3138,347_431.314_8.3,0.966802724,1,0.00294,s.Foregut,0.860232527,2,0.00298,s.Herbivores,0.999780446,13,0.00319,"s.Artiodactyla,s.Perissodactyla",0.928195205,220,0.00319,"s.Goat,s.Sheep"
