log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
30.0,2.06077714,5.22e-48,4.5e-47,SAMEA104404100__maxbin2_high_prob_028_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
26.03233457,1.005596995,9.22e-148,5.56e-146,SAMEA104404100__maxbin2_low_prob_012_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter
4.357792383,0.923322496,2.36e-06,5.61e-06,SAMEA104404100__maxbin2_low_prob_019_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,
4.449858675,2.720971309,0.101966593,0.134134626,SAMEA104404100__maxbin2_low_prob_032_contigs,Bacteria,Firmicutes_C,Negativicutes,Acidaminococcales,Acidaminococcaceae,
27.02270494,1.278990326,4.38e-99,1.08e-97,SAMEA104404100__maxbin2_low_prob_043_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,
27.26086418,0.99101709,1.41e-166,1.17e-164,SAMEA104404100__metabat2_high_PE_013_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
25.57636101,1.282432745,1.7e-88,3.42e-87,SAMEA104404100__metabat2_low_PE_082_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,
5.30552002,0.997975636,1.06e-07,2.78e-07,SAMEA104404103__metabat2_high_PE_037_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter
5.79271254,1.02914708,1.82e-08,4.89e-08,SAMEA104404103__metabat2_high_PE_047_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter
27.60623907,0.936947405,8.33e-191,1.84e-188,SAMEA104404106__maxbin2_high_prob_062_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
3.62670838,1.07164522,0.000713747,0.001375622,SAMEA104404106__maxbin2_low_prob_018_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-269
5.349926219,1.622948881,0.000979244,0.001865629,SAMEA104404106__metabat2_low_PE_044_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
1.904268233,2.381715253,0.423979402,0.478058407,SAMEA3387437__metabat2_high_PE_012_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger
3.148768498,1.854575701,0.089538403,0.119685405,SAMEA3387437__metabat2_low_PE_008_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter
24.87131932,2.638799147,4.29e-21,1.34e-20,SAMEA3387444__metabat2_low_PE_023_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger
5.172598782,1.233399435,2.74e-05,6.1e-05,SAMEA3387450__maxbin2_low_prob_013_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium
4.535735859,1.61910185,0.005088297,0.008808201,SAMEA3387450__metabat2_low_PE_003_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus_B
24.08406143,2.53443003,2.04e-21,6.45e-21,SAMEA3387452__metabat2_high_PE_017_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea
3.010366888,1.820804796,0.098266436,0.129524149,SAMEA3387455__metabat2_low_PE_004_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes
1.796705365,1.173007209,0.125594331,0.162002026,SAMEA3387464__metabat2_high_PE_014_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
2.118182563,1.124973918,0.059717636,0.0844196,SAMEA3387464__metabat2_high_PE_048_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
2.632706308,0.964233121,0.006326465,0.010727484,SAMEA3387464__metabat2_low_PE_022_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter
5.528139945,1.406296565,8.46e-05,0.000180345,SAMEA3387467__maxbin2_low_prob_010_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia
4.859720295,1.599603875,0.002380928,0.004289553,SAMEA3387467__metabat2_low_PE_031_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_E
4.324992479,1.38028008,0.00172784,0.003199883,SAMEA3387469__metabat2_low_PE_004_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-354
2.207074263,1.751682709,0.207678825,0.255456514,SAMEA3387471__maxbin2_low_prob_020_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridium_U
26.63512611,1.230841322,7.59e-104,2.1e-102,SAMEA3387472__metabat2_high_PE_036_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
24.47074103,2.506272648,1.61e-22,5.47e-22,SAMEA3387474__metabat2_low_PE_013_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
5.222333938,1.080982539,1.36e-06,3.3e-06,SAMEA3387475__maxbin2_low_prob_025_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,Ruminiclostridium_C
25.69084856,2.47943236,3.71e-25,1.46e-24,SAMEA3387475__metabat2_low_PE_037_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
24.1432295,2.527691128,1.28e-21,4.07e-21,SAMEA3387475__metabat2_low_PE_040_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Emergencia
8.445605287,2.323062189,0.00027739,0.000562414,SAMEA3387476__metabat2_high_PE_017_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
3.923991253,2.083945948,0.059705503,0.0844196,SAMEA3387476__metabat2_low_PE_028_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
1.754779804,2.661105834,0.509627696,0.555728886,SAMEA3387485__metabat2_high_PE_030_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira
1.918577326,1.586801457,0.226630316,0.274189597,SAMEA3387485__metabat2_low_PE_020_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter
25.86272866,1.67814732,1.37e-53,1.38e-52,SAMEA3387494__metabat2_low_PE_043_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
25.89851018,2.281068696,7.11e-30,3.34e-29,SAMEA3387495__metabat2_high_PE_036_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
1.811853832,1.140670632,0.112193421,0.146714474,SAMEA3387496__metabat2_low_PE_018_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
-3.759870655,1.629909509,0.02106613,0.032632813,SAMEA3387498__metabat2_low_PE_007_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas
6.509209658,2.091636391,0.001858133,0.003403155,SAMEA3387500__metabat2_high_PE_001_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
25.12364591,2.01110858,8.21e-36,4.95e-35,SAMEA3387500__metabat2_high_PE_009_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Clostridium_Q
3.914666994,1.505584499,0.009319719,0.015408911,SAMEA3387500__metabat2_high_PE_015_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea
4.387665172,1.62445114,0.006912844,0.011603078,SAMEA3387500__metabat2_low_PE_011_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
3.97133721,1.372530158,0.003810439,0.00668339,SAMEA3387508__maxbin2_high_prob_017_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
27.94825849,2.790879131,1.32e-23,4.79e-23,SAMEA3387508__maxbin2_high_prob_020_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
26.15900777,2.210832832,2.66e-32,1.38e-31,SAMEA3387508__metabat2_high_PE_018_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
1.673639621,2.140559063,0.434290784,0.488853632,SAMEA3387511__metabat2_low_PE_011_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger
1.792407458,1.977834304,0.364804849,0.416291937,SAMEA3387512__maxbin2_low_prob_006_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
0.175104357,1.797618044,0.922401518,0.936527116,SAMEA3387515__metabat2_high_PE_030_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium
-1.72595952,2.383189628,0.468929155,0.521615649,SAMEA3387519__metabat2_low_PE_021_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_B
-2.42423443,2.376020539,0.30759006,0.360941964,SAMEA3663006__metabat2_high_PE_028_contigs,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
3.501590121,1.582570236,0.026925444,0.040943966,SAMEA3663006__metabat2_low_PE_028_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-822,UBA5364
5.092400482,1.095212683,3.32e-06,7.82e-06,SAMEA3663010__metabat2_high_PE_006_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-83
24.38715162,1.867400591,5.62e-39,3.69e-38,SAMEA3663010__metabat2_high_PE_011_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
25.52809636,2.58725855,5.8e-23,1.99e-22,SAMEA3663013__metabat2_low_PE_021_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia
25.88992291,1.364847653,3.07e-80,5.66e-79,SAMEA3663015__maxbin2_high_prob_010_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173_A
26.25652376,2.194443702,5.42e-33,2.97e-32,SAMEA3663015__metabat2_low_PE_008_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA3388
26.18403961,1.788510221,1.56e-48,1.4e-47,SAMEA3663015__metabat2_low_PE_019_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA4334
23.4268773,2.532913271,2.27e-20,6.89e-20,SAMEA3663015__metabat2_low_PE_032_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,
23.35651763,2.551241189,5.44e-20,1.64e-19,SAMEA3663023__maxbin2_low_prob_014_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
2.749886249,1.271315267,0.030539285,0.045912802,SAMEA3663023__metabat2_low_PE_007_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
23.96495206,2.375309226,6.17e-24,2.28e-23,SAMEA3663025__maxbin2_high_prob_021_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,
26.10540266,1.518476285,3.06e-66,4.05e-65,SAMEA3663025__metabat2_low_PE_039_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,C941
25.27522826,1.946286373,1.46e-38,9.5e-38,SAMEA3663025__metabat2_low_PE_053_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
25.2164894,2.539795494,3.13e-23,1.1e-22,SAMEA3663026__maxbin2_low_prob_030_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488
24.90597577,2.091817931,1.1e-32,5.82e-32,SAMEA3663026__metabat2_high_PE_017_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
24.85092516,1.392104989,2.82e-71,4.35e-70,SAMEA3663026__metabat2_low_PE_012_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-127
25.62523113,2.404399339,1.61e-26,6.61e-26,SAMEA3663026__metabat2_low_PE_014_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-302,CAG-302
25.82927291,1.455934235,2.03e-70,3.07e-69,SAMEA3663028__metabat2_low_PE_034_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,UBA1232
24.6926148,2.328639908,2.86e-26,1.16e-25,SAMEA3663036__metabat2_high_PE_014_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella
10.1847196,1.982817376,2.8e-07,7.22e-07,SAMEA3663036__metabat2_high_PE_022_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA4372
27.02736601,1.288524763,1.1e-97,2.51e-96,SAMEA3663036__metabat2_high_PE_029_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
