log2FoldChange,lfcSE,pvalue,padj,Domain,Phylum,KEGG_pathway,KEGG_Pathway_Name,Level1,Level2
0.571399107,0.066583414,9.35e-18,2.38e-17,Bacteria,Bacteroidetes,ko00520,Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism
0.35011861,0.067712167,2.33e-07,3.92e-07,Bacteria,Bacteroidetes,ko00521,Streptomycin biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
0.545940169,0.083846279,7.46e-11,1.46e-10,Bacteria,Bacteroidetes,ko00524,"Neomycin, kanamycin and gentamicin biosynthesis",Metabolism,Biosynthesis of other secondary metabolites
0.434628592,0.055272679,3.74e-15,8.61e-15,Bacteria,Bacteroidetes,ko01110,Biosynthesis of secondary metabolites,Metabolism,Global and overview maps
0.478643197,0.052657608,9.93e-20,2.67e-19,Bacteria,Bacteroidetes,ko01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps
0.358630706,0.053021857,1.34e-11,2.71e-11,Bacteria,Bacteroidetes,ko01130,Biosynthesis of antibiotics,Metabolism,Global and overview maps
0.412684088,0.048447393,1.62e-17,4.09e-17,Bacteria,Bacteroidetes,ko01200,Carbon metabolism,Metabolism,Global and overview maps
-0.988797789,0.062296456,9.83e-57,5.37e-56,Bacteria,Proteobacteria,ko02010,ABC transporters,Environmental Information Processing,Membrane transport
0.534864806,0.045445083,5.61e-32,2.07e-31,Bacteria,Firmicutes,ko03020,RNA polymerase,Genetic Information Processing,Transcription
0.259610868,0.050681957,3.02e-07,5.04e-07,Bacteria,Actinobacteria,ko02026,Biofilm formation - Escherichia coli,Cellular Processes,Cellular community - prokaryotes
0.038005153,0.042103826,0.366709986,0.398848695,Bacteria,Actinobacteria,ko04217,Necroptosis,Cellular Processes,Cell growth and death
-0.068664899,0.042887981,0.109370503,0.125568663,Bacteria,Actinobacteria,ko04910,Insulin signaling pathway,Organismal Systems,Endocrine system
-0.011931627,0.0427721,0.780276919,0.79870536,Bacteria,Actinobacteria,ko04922,Glucagon signaling pathway,Organismal Systems,Endocrine system
1.016308046,0.062520251,2.04e-59,1.16e-58,Bacteria,Firmicutes,ko00440,Phosphonate and phosphinate metabolism,Metabolism,Metabolism of other amino acids
3.384741148,0.108879665,3.61e-212,1.15e-209,Bacteria,Firmicutes,ko05100,Bacterial invasion of epithelial cells,Human Diseases,Infectious disease: bacterial
-0.138502137,0.06098311,0.023137556,0.028266059,Bacteria,Actinobacteria,ko00190,Oxidative phosphorylation,Metabolism,Energy metabolism
0.354639165,0.07670061,3.77e-06,5.91e-06,Bacteria,Actinobacteria,ko00195,Photosynthesis,Metabolism,Energy metabolism
1.406812389,0.061340465,2.1e-116,4.05e-115,Bacteria,Firmicutes,ko00550,Peptidoglycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
0.497514273,0.02725905,2.02e-74,1.53e-73,Bacteria,Firmicutes,ko04122,Sulfur relay system,Genetic Information Processing,"Folding, sorting and degradation"
0.601859758,0.03012697,8.65e-89,8.69e-88,Bacteria,Firmicutes,ko00983,Drug metabolism - other enzymes,Metabolism,Xenobiotics biodegradation and metabolism
0.279891375,0.036305213,1.26e-14,2.84e-14,Bacteria,Spirochaetes,ko00620,Pyruvate metabolism,Metabolism,Carbohydrate metabolism
0.222544421,0.04983654,7.99e-06,1.22e-05,Bacteria,Spirochaetes,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
1.359118894,0.120279063,1.32e-29,4.53e-29,Bacteria,Actinobacteria,ko04973,Carbohydrate digestion and absorption,Organismal Systems,Digestive system
0.91418223,0.032196775,2.43e-177,3.3e-175,Bacteria,Firmicutes,ko00730,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
0.180367841,0.058662215,0.002107249,0.002780985,Bacteria,Actinobacteria,ko02024,Quorum sensing,Cellular Processes,Cellular community - prokaryotes
0.037118936,0.058635148,0.526701482,0.557391635,Bacteria,Actinobacteria,ko03060,Protein export,Genetic Information Processing,"Folding, sorting and degradation"
0.05679748,0.057268953,0.321311014,0.351947216,Bacteria,Actinobacteria,ko03070,Bacterial secretion system,Environmental Information Processing,Membrane transport
-0.084230383,0.051996789,0.10525052,0.121057142,Bacteria,Actinobacteria,ko00970,Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
0.631381005,0.031765861,6.56e-88,6.41e-87,Bacteria,Firmicutes,ko00261,Monobactam biosynthesis,Metabolism,Biosynthesis of other secondary metabolites
0.725608015,0.02965788,3.41e-132,1.12e-130,Bacteria,Firmicutes,ko00920,Sulfur metabolism,Metabolism,Energy metabolism
0.729247983,0.036891964,5.71e-87,5.5e-86,Bacteria,Firmicutes,ko04922,Glucagon signaling pathway,Organismal Systems,Endocrine system
0.432814714,0.035320585,1.6e-34,6.21e-34,Bacteria,Firmicutes,ko04930,Type II diabetes mellitus,Human Diseases,Endocrine and metabolic disease
0.410634245,0.035727169,1.42e-30,5.01e-30,Bacteria,Firmicutes,ko05165,Human papillomavirus infection,Human Diseases,Infectious disease: viral
0.405331417,0.035694484,6.96e-30,2.41e-29,Bacteria,Firmicutes,ko05203,Viral carcinogenesis,Human Diseases,Cancer: overview
0.495760649,0.036403737,3.11e-42,1.38e-41,Bacteria,Firmicutes,ko05230,Central carbon metabolism in cancer,Human Diseases,Cancer: overview
0.501590614,0.07765559,1.05e-10,2.06e-10,Bacteria,Bacteroidetes,ko03013,RNA transport,Genetic Information Processing,Translation
0.232759253,0.03338363,3.12e-12,6.47e-12,Bacteria,Firmicutes,ko01051,Biosynthesis of ansamycins,Metabolism,Metabolism of terpenoids and polyketides
-1.277085397,0.056225888,3.3e-114,5.99e-113,Bacteria,Proteobacteria,ko00730,Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
-1.410137191,0.058386433,7.15e-129,2e-127,Bacteria,Proteobacteria,ko01100,Metabolic pathways Major,Metabolism,Global and overview maps
