log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
28.89615091,1.14579442,2.46e-140,5.72e-140,SAMEA3663269__metabat2_low_PE_031_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA2882
29.81303761,1.213298312,2.52e-133,5.42e-133,SAMEA3663271__maxbin2_low_prob_005_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
29.86775755,1.243558252,1.8e-127,3.52e-127,SAMEA3663271__metabat2_high_PE_028_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-145
28.84346227,1.089179404,1.57e-154,4.29e-154,SAMEA3663271__metabat2_low_PE_018_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,
27.49967699,1.221565745,3.18e-112,5.16e-112,SAMEA3663273__metabat2_low_PE_012_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-302,CAG-302
27.59292157,1.158736344,2.45e-125,4.65e-125,SAMEA3663276__metabat2_high_PE_019_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,FD2005
30.0,1.271312427,4.07e-123,7.49e-123,SAMEA3663277__metabat2_low_PE_023_contigs,Bacteria,Firmicutes_A,Clostridia,Christensenellales,CAG-138,Phil1
30.0,1.190695705,4.5e-140,1.04e-139,SAMEA3663280__maxbin2_low_prob_023_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02
30.0,0.915495578,1.62e-235,1.05e-234,SAMEA3663280__metabat2_low_PE_020_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor
27.74182278,1.053424015,7.64e-153,2.03e-152,SAMEA3663283__metabat2_high_PE_009_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,CAG-831
28.43298163,1.145187949,4.45e-136,9.79e-136,SAMEA3663283__metabat2_low_PE_007_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-177
29.54824123,1.204131332,5.66e-133,1.21e-132,SAMEA3663283__metabat2_low_PE_027_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02
28.08593102,1.16763381,7.63e-128,1.5e-127,SAMEA3663293__metabat2_low_PE_021_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
28.68711268,1.201171315,4.64e-126,8.86e-126,SAMEA3663296__metabat2_high_PE_018_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
26.30100901,1.317957313,1.33e-88,1.85e-88,SAMEA3663296__metabat2_low_PE_008_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-822,UBA5026
30.0,1.151253086,1.08e-149,2.77e-149,SAMEA3663296__metabat2_low_PE_018_contigs,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D
30.0,0.687703388,0.0,0.0,SAMEA3663296__metabat2_low_PE_021_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4
27.97722945,1.487607819,6.64e-79,8.84e-79,SAMEA3663296__metabat2_low_PE_030_contigs,Bacteria,Firmicutes,Bacilli,RF39,CAG-302,
26.04097618,1.678754182,2.87e-54,3.35e-54,SAMEA3663297__maxbin2_low_prob_019_contigs,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Thermoguttaceae,
30.0,1.223918776,1.12e-132,2.37e-132,SAMEA3663297__metabat2_high_PE_006_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082
30.0,1.232902319,8.81e-131,1.8e-130,SAMEA3663297__metabat2_high_PE_016_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
27.93830535,0.726910131,0.0,0.0,SAMEA3663297__metabat2_low_PE_003_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
30.0,0.87381873,2.61e-258,2.1e-257,SAMEA3663297__metabat2_low_PE_020_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-95
29.46419522,0.961349449,2.74e-206,1.4e-205,SAMEA3663297__metabat2_low_PE_033_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-110
29.76673912,1.04875627,3.29e-177,1.16e-176,SAMEA3663299__metabat2_low_PE_032_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus
30.0,1.276827294,4.51e-122,8.15e-122,Scooby_p2__metabat2_low_PE_040_contigs,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium_B
26.44611969,0.965813636,4.47e-165,1.37e-164,Scrappy_p2__metabat2_high_PE_016_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
28.93359982,0.766583627,0.0,0.0,Scrappy_p2__metabat2_low_PE_009_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
