Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Growth on MacConkey agar,True,d__Bacteria,p__Proteobacteria,Environment,8
Growth on MacConkey agar,True,d__Bacteria,p__Proteobacteria,Host,6
Growth on MacConkey agar,True,d__Bacteria,p__Proteobacteria,Neither,14
Growth on MacConkey agar,False,d__Bacteria,p__Spirochaetota,Host,31
Growth on MacConkey agar,False,d__Bacteria,p__Spirochaetota,Neither,8
Growth on MacConkey agar,False,d__Bacteria,p__Synergistota,Neither,4
Growth on MacConkey agar,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Growth on MacConkey agar,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Growth on MacConkey agar,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Growth on MacConkey agar,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Growth on ordinary blood agar,False,d__Archaea,p__Euryarchaeota,Host,2
Growth on ordinary blood agar,True,d__Archaea,p__Euryarchaeota,Host,3
Growth on ordinary blood agar,False,d__Archaea,p__Halobacterota,Host,1
Growth on ordinary blood agar,True,d__Archaea,p__Halobacterota,Neither,3
Growth on ordinary blood agar,False,d__Archaea,p__Thermoplasmatota,Neither,1
Growth on ordinary blood agar,True,d__Archaea,p__Thermoplasmatota,Host,1
Growth on ordinary blood agar,True,d__Archaea,p__Thermoplasmatota,Neither,2
Growth on ordinary blood agar,False,d__Bacteria,p__Actinobacteriota,Host,1
Growth on ordinary blood agar,False,d__Bacteria,p__Actinobacteriota,Neither,2
Growth on ordinary blood agar,True,d__Bacteria,p__Actinobacteriota,Environment,7
Growth on ordinary blood agar,True,d__Bacteria,p__Actinobacteriota,Host,38
Growth on ordinary blood agar,True,d__Bacteria,p__Actinobacteriota,Neither,48
Growth on ordinary blood agar,True,d__Bacteria,p__Armatimonadota,Neither,1
Growth on ordinary blood agar,False,d__Bacteria,p__Bacteroidota,Host,10
Growth on ordinary blood agar,False,d__Bacteria,p__Bacteroidota,Neither,23
Growth on ordinary blood agar,True,d__Bacteria,p__Bacteroidota,Host,207
Growth on ordinary blood agar,True,d__Bacteria,p__Bacteroidota,Neither,105
Growth on ordinary blood agar,True,d__Bacteria,p__Campylobacterota,Host,6
Growth on ordinary blood agar,True,d__Bacteria,p__Campylobacterota,Neither,14
Growth on ordinary blood agar,False,d__Bacteria,p__Chloroflexota,Neither,1
Growth on ordinary blood agar,False,d__Bacteria,p__Cyanobacteria,Host,6
Growth on ordinary blood agar,False,d__Bacteria,p__Cyanobacteria,Neither,1
Growth on ordinary blood agar,True,d__Bacteria,p__Cyanobacteria,Host,7
Growth on ordinary blood agar,True,d__Bacteria,p__Cyanobacteria,Neither,1
Growth on ordinary blood agar,False,d__Bacteria,p__Deferribacterota,Neither,1
Growth on ordinary blood agar,False,d__Bacteria,p__Desulfobacterota_A,Neither,1
Growth on ordinary blood agar,True,d__Bacteria,p__Desulfobacterota_A,Host,5
Growth on ordinary blood agar,True,d__Bacteria,p__Desulfobacterota_A,Neither,2
Growth on ordinary blood agar,False,d__Bacteria,p__Elusimicrobiota,Host,3
Growth on ordinary blood agar,False,d__Bacteria,p__Elusimicrobiota,Neither,1
Growth on ordinary blood agar,True,d__Bacteria,p__Elusimicrobiota,Host,1
Growth on ordinary blood agar,True,d__Bacteria,p__Elusimicrobiota,Neither,1
Growth on ordinary blood agar,True,d__Bacteria,p__Eremiobacterota,Neither,1
Growth on ordinary blood agar,True,d__Bacteria,p__Fibrobacterota,Host,4
Growth on ordinary blood agar,False,d__Bacteria,p__Firmicutes,Host,39
Growth on ordinary blood agar,False,d__Bacteria,p__Firmicutes,Neither,26
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes,Host,65
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes,Neither,58
Growth on ordinary blood agar,False,d__Bacteria,p__Firmicutes_A,Host,31
Growth on ordinary blood agar,False,d__Bacteria,p__Firmicutes_A,Neither,36
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes_A,Host,407
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes_A,Neither,137
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes_B,Host,2
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes_B,Neither,2
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes_C,Host,16
Growth on ordinary blood agar,True,d__Bacteria,p__Firmicutes_C,Neither,13
Growth on ordinary blood agar,False,d__Bacteria,p__Fusobacteriota,Neither,1
Growth on ordinary blood agar,True,d__Bacteria,p__Fusobacteriota,Host,2
Growth on ordinary blood agar,True,d__Bacteria,p__Fusobacteriota,Neither,14
Growth on ordinary blood agar,True,d__Bacteria,p__Myxococcota,Host,2
Growth on ordinary blood agar,False,d__Bacteria,p__Patescibacteria,Host,1
Growth on ordinary blood agar,False,d__Bacteria,p__Patescibacteria,Neither,3
Growth on ordinary blood agar,True,d__Bacteria,p__Planctomycetota,Host,1
Growth on ordinary blood agar,True,d__Bacteria,p__Planctomycetota,Neither,1
Growth on ordinary blood agar,False,d__Bacteria,p__Proteobacteria,Host,3
Growth on ordinary blood agar,False,d__Bacteria,p__Proteobacteria,Neither,9
Growth on ordinary blood agar,True,d__Bacteria,p__Proteobacteria,Environment,8
Growth on ordinary blood agar,True,d__Bacteria,p__Proteobacteria,Host,21
Growth on ordinary blood agar,True,d__Bacteria,p__Proteobacteria,Neither,31
Growth on ordinary blood agar,False,d__Bacteria,p__Spirochaetota,Host,29
Growth on ordinary blood agar,False,d__Bacteria,p__Spirochaetota,Neither,8
Growth on ordinary blood agar,True,d__Bacteria,p__Spirochaetota,Host,2
Growth on ordinary blood agar,True,d__Bacteria,p__Synergistota,Neither,4
Growth on ordinary blood agar,False,d__Bacteria,p__Verrucomicrobiota,Host,9
Growth on ordinary blood agar,False,d__Bacteria,p__Verrucomicrobiota,Neither,10
Growth on ordinary blood agar,True,d__Bacteria,p__Verrucomicrobiota,Host,4
Growth on ordinary blood agar,True,d__Bacteria,p__Verrucomicrobiota,Neither,4
Growth on ordinary blood agar,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Growth on ordinary blood agar,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Hydrogen sulfide,False,d__Archaea,p__Euryarchaeota,Host,5
Hydrogen sulfide,False,d__Archaea,p__Halobacterota,Host,1
Hydrogen sulfide,False,d__Archaea,p__Halobacterota,Neither,3
Hydrogen sulfide,False,d__Archaea,p__Thermoplasmatota,Host,1
Hydrogen sulfide,False,d__Archaea,p__Thermoplasmatota,Neither,3
Hydrogen sulfide,False,d__Bacteria,p__Actinobacteriota,Environment,7
Hydrogen sulfide,False,d__Bacteria,p__Actinobacteriota,Host,27
Hydrogen sulfide,False,d__Bacteria,p__Actinobacteriota,Neither,45
Hydrogen sulfide,True,d__Bacteria,p__Actinobacteriota,Host,12
Hydrogen sulfide,True,d__Bacteria,p__Actinobacteriota,Neither,5
Hydrogen sulfide,False,d__Bacteria,p__Armatimonadota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Bacteroidota,Host,161
Hydrogen sulfide,False,d__Bacteria,p__Bacteroidota,Neither,109
Hydrogen sulfide,True,d__Bacteria,p__Bacteroidota,Host,56
Hydrogen sulfide,True,d__Bacteria,p__Bacteroidota,Neither,19
Hydrogen sulfide,False,d__Bacteria,p__Campylobacterota,Host,6
Hydrogen sulfide,False,d__Bacteria,p__Campylobacterota,Neither,14
Hydrogen sulfide,False,d__Bacteria,p__Chloroflexota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Cyanobacteria,Host,13
Hydrogen sulfide,False,d__Bacteria,p__Cyanobacteria,Neither,2
Hydrogen sulfide,False,d__Bacteria,p__Deferribacterota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Desulfobacterota_A,Host,2
Hydrogen sulfide,False,d__Bacteria,p__Desulfobacterota_A,Neither,2
Hydrogen sulfide,True,d__Bacteria,p__Desulfobacterota_A,Host,3
Hydrogen sulfide,True,d__Bacteria,p__Desulfobacterota_A,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Elusimicrobiota,Host,4
Hydrogen sulfide,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Hydrogen sulfide,False,d__Bacteria,p__Eremiobacterota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Fibrobacterota,Host,4
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes,Host,103
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes,Neither,80
Hydrogen sulfide,True,d__Bacteria,p__Firmicutes,Host,1
Hydrogen sulfide,True,d__Bacteria,p__Firmicutes,Neither,4
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes_A,Host,389
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes_A,Neither,156
Hydrogen sulfide,True,d__Bacteria,p__Firmicutes_A,Host,49
Hydrogen sulfide,True,d__Bacteria,p__Firmicutes_A,Neither,17
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes_B,Host,2
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes_B,Neither,2
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes_C,Host,16
Hydrogen sulfide,False,d__Bacteria,p__Firmicutes_C,Neither,13
Hydrogen sulfide,False,d__Bacteria,p__Fusobacteriota,Host,2
Hydrogen sulfide,False,d__Bacteria,p__Fusobacteriota,Neither,14
Hydrogen sulfide,True,d__Bacteria,p__Fusobacteriota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Myxococcota,Host,2
Hydrogen sulfide,False,d__Bacteria,p__Patescibacteria,Host,1
Hydrogen sulfide,False,d__Bacteria,p__Patescibacteria,Neither,3
Hydrogen sulfide,False,d__Bacteria,p__Planctomycetota,Host,1
Hydrogen sulfide,False,d__Bacteria,p__Planctomycetota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Proteobacteria,Environment,8
Hydrogen sulfide,False,d__Bacteria,p__Proteobacteria,Host,20
Hydrogen sulfide,False,d__Bacteria,p__Proteobacteria,Neither,39
Hydrogen sulfide,True,d__Bacteria,p__Proteobacteria,Host,4
Hydrogen sulfide,True,d__Bacteria,p__Proteobacteria,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Spirochaetota,Host,30
Hydrogen sulfide,False,d__Bacteria,p__Spirochaetota,Neither,7
Hydrogen sulfide,True,d__Bacteria,p__Spirochaetota,Host,1
Hydrogen sulfide,True,d__Bacteria,p__Spirochaetota,Neither,1
Hydrogen sulfide,False,d__Bacteria,p__Synergistota,Neither,2
Hydrogen sulfide,True,d__Bacteria,p__Synergistota,Neither,2
Hydrogen sulfide,False,d__Bacteria,p__Verrucomicrobiota,Host,13
Hydrogen sulfide,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Hydrogen sulfide,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Hydrogen sulfide,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Indole,False,d__Archaea,p__Euryarchaeota,Host,5
Indole,False,d__Archaea,p__Halobacterota,Neither,3
Indole,True,d__Archaea,p__Halobacterota,Host,1
Indole,False,d__Archaea,p__Thermoplasmatota,Host,1
Indole,False,d__Archaea,p__Thermoplasmatota,Neither,3
Indole,False,d__Bacteria,p__Actinobacteriota,Environment,7
Indole,False,d__Bacteria,p__Actinobacteriota,Host,39
Indole,False,d__Bacteria,p__Actinobacteriota,Neither,49
Indole,True,d__Bacteria,p__Actinobacteriota,Neither,1
Indole,False,d__Bacteria,p__Armatimonadota,Neither,1
Indole,False,d__Bacteria,p__Bacteroidota,Host,198
Indole,False,d__Bacteria,p__Bacteroidota,Neither,126
Indole,True,d__Bacteria,p__Bacteroidota,Host,19
Indole,True,d__Bacteria,p__Bacteroidota,Neither,2
Indole,False,d__Bacteria,p__Campylobacterota,Host,6
Indole,False,d__Bacteria,p__Campylobacterota,Neither,14
Indole,False,d__Bacteria,p__Chloroflexota,Neither,1
Indole,False,d__Bacteria,p__Cyanobacteria,Host,13
Indole,False,d__Bacteria,p__Cyanobacteria,Neither,2
Indole,False,d__Bacteria,p__Deferribacterota,Neither,1
Indole,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Indole,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Indole,False,d__Bacteria,p__Elusimicrobiota,Host,4
Indole,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Indole,False,d__Bacteria,p__Eremiobacterota,Neither,1
Indole,False,d__Bacteria,p__Fibrobacterota,Host,4
Indole,False,d__Bacteria,p__Firmicutes,Host,104
Indole,False,d__Bacteria,p__Firmicutes,Neither,84
Indole,False,d__Bacteria,p__Firmicutes_A,Host,437
Indole,False,d__Bacteria,p__Firmicutes_A,Neither,173
Indole,True,d__Bacteria,p__Firmicutes_A,Host,1
Indole,False,d__Bacteria,p__Firmicutes_B,Host,2
Indole,False,d__Bacteria,p__Firmicutes_B,Neither,2
Indole,False,d__Bacteria,p__Firmicutes_C,Host,16
Indole,False,d__Bacteria,p__Firmicutes_C,Neither,13
Indole,False,d__Bacteria,p__Fusobacteriota,Host,2
Indole,False,d__Bacteria,p__Fusobacteriota,Neither,14
Indole,True,d__Bacteria,p__Fusobacteriota,Neither,1
Indole,False,d__Bacteria,p__Myxococcota,Host,2
Indole,False,d__Bacteria,p__Patescibacteria,Host,1
Indole,False,d__Bacteria,p__Patescibacteria,Neither,3
Indole,False,d__Bacteria,p__Planctomycetota,Host,1
Indole,False,d__Bacteria,p__Planctomycetota,Neither,1
Indole,False,d__Bacteria,p__Proteobacteria,Environment,7
Indole,False,d__Bacteria,p__Proteobacteria,Host,20
Indole,False,d__Bacteria,p__Proteobacteria,Neither,38
Indole,True,d__Bacteria,p__Proteobacteria,Environment,1
Indole,True,d__Bacteria,p__Proteobacteria,Host,4
Indole,True,d__Bacteria,p__Proteobacteria,Neither,2
Indole,False,d__Bacteria,p__Spirochaetota,Host,30
Indole,False,d__Bacteria,p__Spirochaetota,Neither,8
Indole,True,d__Bacteria,p__Spirochaetota,Host,1
Indole,False,d__Bacteria,p__Synergistota,Neither,4
Indole,False,d__Bacteria,p__Verrucomicrobiota,Host,12
Indole,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
Indole,True,d__Bacteria,p__Verrucomicrobiota,Host,1
Indole,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Indole,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
L-Arabinose,False,d__Archaea,p__Euryarchaeota,Host,5
L-Arabinose,False,d__Archaea,p__Halobacterota,Host,1
L-Arabinose,False,d__Archaea,p__Halobacterota,Neither,3
L-Arabinose,False,d__Archaea,p__Thermoplasmatota,Host,1
L-Arabinose,False,d__Archaea,p__Thermoplasmatota,Neither,3
L-Arabinose,False,d__Bacteria,p__Actinobacteriota,Environment,6
L-Arabinose,False,d__Bacteria,p__Actinobacteriota,Host,27
L-Arabinose,False,d__Bacteria,p__Actinobacteriota,Neither,44
L-Arabinose,True,d__Bacteria,p__Actinobacteriota,Environment,1
L-Arabinose,True,d__Bacteria,p__Actinobacteriota,Host,12
L-Arabinose,True,d__Bacteria,p__Actinobacteriota,Neither,6
L-Arabinose,False,d__Bacteria,p__Armatimonadota,Neither,1
L-Arabinose,False,d__Bacteria,p__Bacteroidota,Host,136
L-Arabinose,False,d__Bacteria,p__Bacteroidota,Neither,106
L-Arabinose,True,d__Bacteria,p__Bacteroidota,Host,81
L-Arabinose,True,d__Bacteria,p__Bacteroidota,Neither,22
L-Arabinose,False,d__Bacteria,p__Campylobacterota,Host,6
L-Arabinose,False,d__Bacteria,p__Campylobacterota,Neither,14
L-Arabinose,True,d__Bacteria,p__Chloroflexota,Neither,1
L-Arabinose,False,d__Bacteria,p__Cyanobacteria,Host,13
L-Arabinose,False,d__Bacteria,p__Cyanobacteria,Neither,2
L-Arabinose,False,d__Bacteria,p__Deferribacterota,Neither,1
L-Arabinose,False,d__Bacteria,p__Desulfobacterota_A,Host,5
L-Arabinose,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
L-Arabinose,False,d__Bacteria,p__Elusimicrobiota,Host,4
L-Arabinose,False,d__Bacteria,p__Elusimicrobiota,Neither,2
L-Arabinose,False,d__Bacteria,p__Eremiobacterota,Neither,1
L-Arabinose,False,d__Bacteria,p__Fibrobacterota,Host,4
L-Arabinose,False,d__Bacteria,p__Firmicutes,Host,95
L-Arabinose,False,d__Bacteria,p__Firmicutes,Neither,76
L-Arabinose,True,d__Bacteria,p__Firmicutes,Host,9
L-Arabinose,True,d__Bacteria,p__Firmicutes,Neither,8
L-Arabinose,False,d__Bacteria,p__Firmicutes_A,Host,317
L-Arabinose,False,d__Bacteria,p__Firmicutes_A,Neither,142
L-Arabinose,True,d__Bacteria,p__Firmicutes_A,Host,121
L-Arabinose,True,d__Bacteria,p__Firmicutes_A,Neither,31
L-Arabinose,False,d__Bacteria,p__Firmicutes_B,Host,2
L-Arabinose,False,d__Bacteria,p__Firmicutes_B,Neither,2
L-Arabinose,False,d__Bacteria,p__Firmicutes_C,Host,11
L-Arabinose,False,d__Bacteria,p__Firmicutes_C,Neither,10
L-Arabinose,True,d__Bacteria,p__Firmicutes_C,Host,5
L-Arabinose,True,d__Bacteria,p__Firmicutes_C,Neither,3
L-Arabinose,False,d__Bacteria,p__Fusobacteriota,Host,2
L-Arabinose,False,d__Bacteria,p__Fusobacteriota,Neither,15
L-Arabinose,False,d__Bacteria,p__Myxococcota,Host,2
L-Arabinose,False,d__Bacteria,p__Patescibacteria,Host,1
L-Arabinose,False,d__Bacteria,p__Patescibacteria,Neither,3
L-Arabinose,False,d__Bacteria,p__Planctomycetota,Host,1
L-Arabinose,False,d__Bacteria,p__Planctomycetota,Neither,1
L-Arabinose,False,d__Bacteria,p__Proteobacteria,Environment,7
L-Arabinose,False,d__Bacteria,p__Proteobacteria,Host,18
L-Arabinose,False,d__Bacteria,p__Proteobacteria,Neither,38
L-Arabinose,True,d__Bacteria,p__Proteobacteria,Environment,1
L-Arabinose,True,d__Bacteria,p__Proteobacteria,Host,6
L-Arabinose,True,d__Bacteria,p__Proteobacteria,Neither,2
L-Arabinose,False,d__Bacteria,p__Spirochaetota,Host,29
L-Arabinose,False,d__Bacteria,p__Spirochaetota,Neither,8
L-Arabinose,True,d__Bacteria,p__Spirochaetota,Host,2
L-Arabinose,False,d__Bacteria,p__Synergistota,Neither,4
L-Arabinose,False,d__Bacteria,p__Verrucomicrobiota,Host,11
L-Arabinose,False,d__Bacteria,p__Verrucomicrobiota,Neither,12
L-Arabinose,True,d__Bacteria,p__Verrucomicrobiota,Host,2
L-Arabinose,True,d__Bacteria,p__Verrucomicrobiota,Neither,2
L-Arabinose,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
L-Arabinose,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
L-Rhamnose,False,d__Archaea,p__Euryarchaeota,Host,5
L-Rhamnose,False,d__Archaea,p__Halobacterota,Host,1
L-Rhamnose,False,d__Archaea,p__Halobacterota,Neither,3
L-Rhamnose,False,d__Archaea,p__Thermoplasmatota,Host,1
L-Rhamnose,False,d__Archaea,p__Thermoplasmatota,Neither,3
L-Rhamnose,False,d__Bacteria,p__Actinobacteriota,Environment,6
L-Rhamnose,False,d__Bacteria,p__Actinobacteriota,Host,37
L-Rhamnose,False,d__Bacteria,p__Actinobacteriota,Neither,47
L-Rhamnose,True,d__Bacteria,p__Actinobacteriota,Environment,1
L-Rhamnose,True,d__Bacteria,p__Actinobacteriota,Host,2
L-Rhamnose,True,d__Bacteria,p__Actinobacteriota,Neither,3
L-Rhamnose,False,d__Bacteria,p__Armatimonadota,Neither,1
L-Rhamnose,False,d__Bacteria,p__Bacteroidota,Host,141
L-Rhamnose,False,d__Bacteria,p__Bacteroidota,Neither,103
L-Rhamnose,True,d__Bacteria,p__Bacteroidota,Host,76
L-Rhamnose,True,d__Bacteria,p__Bacteroidota,Neither,25
L-Rhamnose,False,d__Bacteria,p__Campylobacterota,Host,6
L-Rhamnose,False,d__Bacteria,p__Campylobacterota,Neither,14
L-Rhamnose,False,d__Bacteria,p__Chloroflexota,Neither,1
L-Rhamnose,False,d__Bacteria,p__Cyanobacteria,Host,13
L-Rhamnose,False,d__Bacteria,p__Cyanobacteria,Neither,2
L-Rhamnose,False,d__Bacteria,p__Deferribacterota,Neither,1
L-Rhamnose,False,d__Bacteria,p__Desulfobacterota_A,Host,5
L-Rhamnose,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
L-Rhamnose,False,d__Bacteria,p__Elusimicrobiota,Host,4
L-Rhamnose,False,d__Bacteria,p__Elusimicrobiota,Neither,2
L-Rhamnose,False,d__Bacteria,p__Eremiobacterota,Neither,1
L-Rhamnose,False,d__Bacteria,p__Fibrobacterota,Host,4
L-Rhamnose,False,d__Bacteria,p__Firmicutes,Host,101
L-Rhamnose,False,d__Bacteria,p__Firmicutes,Neither,80
L-Rhamnose,True,d__Bacteria,p__Firmicutes,Host,3
L-Rhamnose,True,d__Bacteria,p__Firmicutes,Neither,4
L-Rhamnose,False,d__Bacteria,p__Firmicutes_A,Host,402
L-Rhamnose,False,d__Bacteria,p__Firmicutes_A,Neither,160
L-Rhamnose,True,d__Bacteria,p__Firmicutes_A,Host,36
L-Rhamnose,True,d__Bacteria,p__Firmicutes_A,Neither,13
L-Rhamnose,False,d__Bacteria,p__Firmicutes_B,Host,2
L-Rhamnose,False,d__Bacteria,p__Firmicutes_B,Neither,2
L-Rhamnose,False,d__Bacteria,p__Firmicutes_C,Host,15
L-Rhamnose,False,d__Bacteria,p__Firmicutes_C,Neither,12
L-Rhamnose,True,d__Bacteria,p__Firmicutes_C,Host,1
L-Rhamnose,True,d__Bacteria,p__Firmicutes_C,Neither,1
L-Rhamnose,False,d__Bacteria,p__Fusobacteriota,Host,2
L-Rhamnose,False,d__Bacteria,p__Fusobacteriota,Neither,15
L-Rhamnose,False,d__Bacteria,p__Myxococcota,Host,2
L-Rhamnose,False,d__Bacteria,p__Patescibacteria,Host,1
L-Rhamnose,False,d__Bacteria,p__Patescibacteria,Neither,3
L-Rhamnose,True,d__Bacteria,p__Planctomycetota,Host,1
L-Rhamnose,True,d__Bacteria,p__Planctomycetota,Neither,1
L-Rhamnose,False,d__Bacteria,p__Proteobacteria,Environment,7
L-Rhamnose,False,d__Bacteria,p__Proteobacteria,Host,22
L-Rhamnose,False,d__Bacteria,p__Proteobacteria,Neither,38
L-Rhamnose,True,d__Bacteria,p__Proteobacteria,Environment,1
L-Rhamnose,True,d__Bacteria,p__Proteobacteria,Host,2
L-Rhamnose,True,d__Bacteria,p__Proteobacteria,Neither,2
L-Rhamnose,False,d__Bacteria,p__Spirochaetota,Host,31
L-Rhamnose,False,d__Bacteria,p__Spirochaetota,Neither,6
L-Rhamnose,True,d__Bacteria,p__Spirochaetota,Neither,2
L-Rhamnose,False,d__Bacteria,p__Synergistota,Neither,4
L-Rhamnose,False,d__Bacteria,p__Verrucomicrobiota,Host,7
L-Rhamnose,False,d__Bacteria,p__Verrucomicrobiota,Neither,14
L-Rhamnose,True,d__Bacteria,p__Verrucomicrobiota,Host,6
L-Rhamnose,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
L-Rhamnose,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Lactose,False,d__Archaea,p__Euryarchaeota,Host,5
Lactose,False,d__Archaea,p__Halobacterota,Host,1
Lactose,False,d__Archaea,p__Halobacterota,Neither,3
Lactose,False,d__Archaea,p__Thermoplasmatota,Host,1
Lactose,False,d__Archaea,p__Thermoplasmatota,Neither,3
Lactose,False,d__Bacteria,p__Actinobacteriota,Environment,5
Lactose,False,d__Bacteria,p__Actinobacteriota,Host,17
Lactose,False,d__Bacteria,p__Actinobacteriota,Neither,43
Lactose,True,d__Bacteria,p__Actinobacteriota,Environment,2
Lactose,True,d__Bacteria,p__Actinobacteriota,Host,22
Lactose,True,d__Bacteria,p__Actinobacteriota,Neither,7
Lactose,True,d__Bacteria,p__Armatimonadota,Neither,1
Lactose,False,d__Bacteria,p__Bacteroidota,Host,32
Lactose,False,d__Bacteria,p__Bacteroidota,Neither,49
Lactose,True,d__Bacteria,p__Bacteroidota,Host,185
Lactose,True,d__Bacteria,p__Bacteroidota,Neither,79
Lactose,False,d__Bacteria,p__Campylobacterota,Host,6
Lactose,False,d__Bacteria,p__Campylobacterota,Neither,14
Lactose,False,d__Bacteria,p__Chloroflexota,Neither,1
Lactose,False,d__Bacteria,p__Cyanobacteria,Host,13
Lactose,False,d__Bacteria,p__Cyanobacteria,Neither,2
Lactose,False,d__Bacteria,p__Deferribacterota,Neither,1
Lactose,False,d__Bacteria,p__Desulfobacterota_A,Host,5
Lactose,False,d__Bacteria,p__Desulfobacterota_A,Neither,3
Lactose,False,d__Bacteria,p__Elusimicrobiota,Host,4
Lactose,False,d__Bacteria,p__Elusimicrobiota,Neither,2
Lactose,False,d__Bacteria,p__Eremiobacterota,Neither,1
Lactose,False,d__Bacteria,p__Fibrobacterota,Host,3
Lactose,True,d__Bacteria,p__Fibrobacterota,Host,1
Lactose,False,d__Bacteria,p__Firmicutes,Host,58
Lactose,False,d__Bacteria,p__Firmicutes,Neither,48
Lactose,True,d__Bacteria,p__Firmicutes,Host,46
Lactose,True,d__Bacteria,p__Firmicutes,Neither,36
Lactose,False,d__Bacteria,p__Firmicutes_A,Host,207
Lactose,False,d__Bacteria,p__Firmicutes_A,Neither,89
Lactose,True,d__Bacteria,p__Firmicutes_A,Host,231
Lactose,True,d__Bacteria,p__Firmicutes_A,Neither,84
Lactose,False,d__Bacteria,p__Firmicutes_B,Host,2
Lactose,False,d__Bacteria,p__Firmicutes_B,Neither,2
Lactose,False,d__Bacteria,p__Firmicutes_C,Host,10
Lactose,False,d__Bacteria,p__Firmicutes_C,Neither,10
Lactose,True,d__Bacteria,p__Firmicutes_C,Host,6
Lactose,True,d__Bacteria,p__Firmicutes_C,Neither,3
Lactose,False,d__Bacteria,p__Fusobacteriota,Host,2
Lactose,False,d__Bacteria,p__Fusobacteriota,Neither,15
Lactose,False,d__Bacteria,p__Myxococcota,Host,2
Lactose,False,d__Bacteria,p__Patescibacteria,Host,1
Lactose,False,d__Bacteria,p__Patescibacteria,Neither,3
Lactose,True,d__Bacteria,p__Planctomycetota,Host,1
Lactose,True,d__Bacteria,p__Planctomycetota,Neither,1
Lactose,False,d__Bacteria,p__Proteobacteria,Environment,8
Lactose,False,d__Bacteria,p__Proteobacteria,Host,21
Lactose,False,d__Bacteria,p__Proteobacteria,Neither,34
Lactose,True,d__Bacteria,p__Proteobacteria,Host,3
Lactose,True,d__Bacteria,p__Proteobacteria,Neither,6
Lactose,False,d__Bacteria,p__Spirochaetota,Host,18
Lactose,False,d__Bacteria,p__Spirochaetota,Neither,5
Lactose,True,d__Bacteria,p__Spirochaetota,Host,13
Lactose,True,d__Bacteria,p__Spirochaetota,Neither,3
Lactose,False,d__Bacteria,p__Synergistota,Neither,4
Lactose,False,d__Bacteria,p__Verrucomicrobiota,Host,2
Lactose,False,d__Bacteria,p__Verrucomicrobiota,Neither,4
Lactose,True,d__Bacteria,p__Verrucomicrobiota,Host,11
Lactose,True,d__Bacteria,p__Verrucomicrobiota,Neither,10
Lactose,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Lactose,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Lipase,False,d__Archaea,p__Euryarchaeota,Host,5
Lipase,False,d__Archaea,p__Halobacterota,Host,1
Lipase,False,d__Archaea,p__Halobacterota,Neither,3
Lipase,False,d__Archaea,p__Thermoplasmatota,Host,1
Lipase,False,d__Archaea,p__Thermoplasmatota,Neither,3
Lipase,False,d__Bacteria,p__Actinobacteriota,Environment,5
