Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Alkaline phosphatase,True,d__Bacteria,p__Desulfobacterota_A,Neither,1
Alkaline phosphatase,False,d__Bacteria,p__Elusimicrobiota,Host,2
Alkaline phosphatase,False,d__Bacteria,p__Elusimicrobiota,Neither,1
Alkaline phosphatase,True,d__Bacteria,p__Elusimicrobiota,Host,2
Alkaline phosphatase,True,d__Bacteria,p__Elusimicrobiota,Neither,1
Alkaline phosphatase,True,d__Bacteria,p__Eremiobacterota,Neither,1
Alkaline phosphatase,False,d__Bacteria,p__Fibrobacterota,Host,2
Alkaline phosphatase,True,d__Bacteria,p__Fibrobacterota,Host,2
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes,Host,86
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes,Neither,60
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes,Host,18
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes,Neither,24
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes_A,Host,280
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes_A,Neither,139
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes_A,Host,158
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes_A,Neither,34
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes_B,Host,1
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes_B,Neither,2
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes_B,Host,1
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes_C,Host,11
Alkaline phosphatase,False,d__Bacteria,p__Firmicutes_C,Neither,7
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes_C,Host,5
Alkaline phosphatase,True,d__Bacteria,p__Firmicutes_C,Neither,6
Alkaline phosphatase,False,d__Bacteria,p__Fusobacteriota,Host,1
Alkaline phosphatase,False,d__Bacteria,p__Fusobacteriota,Neither,3
Alkaline phosphatase,True,d__Bacteria,p__Fusobacteriota,Host,1
Alkaline phosphatase,True,d__Bacteria,p__Fusobacteriota,Neither,12
Alkaline phosphatase,True,d__Bacteria,p__Myxococcota,Host,2
Alkaline phosphatase,False,d__Bacteria,p__Patescibacteria,Host,1
Alkaline phosphatase,False,d__Bacteria,p__Patescibacteria,Neither,3
Alkaline phosphatase,True,d__Bacteria,p__Planctomycetota,Host,1
Alkaline phosphatase,True,d__Bacteria,p__Planctomycetota,Neither,1
