Sample,class,order,family,genus,species,host_common_name,diet,captive_wild,country,sample_type
X265_Western_Marsh_Harrier,Aves,Falconiformes,Accipitridae,Circus,Circus_aeruginosus,Western_Marsh_Harrier,carnivore,wild,Austria,gut
X368_European_Ground_Squirrel,Mammalia,Rodentia,Sciuridae,Spermophilus,Spermophilus_citellus,European_Ground_Squirrel,omnivore,captive,Austria,feces
X164_Greylag_Goose,Aves,Anseriformes,Anatidae,Anser,Anser_anser,Greylag_Goose,herbivore,wild,Germany,feces
X63_fail1_European_Perch,Actinopterygii,Perciformes,Percidae,Perca,Perca_fluviatilis,European_Perch,carnivore,wild,Austria,feces
X67_European_Roe,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus_capreolus,European_Roe,herbivore,wild,Austria,feces
X203_Red_Deer,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus_elaphus,Red_Deer,herbivore,wild,Austria,feces
X376_Kulan,Mammalia,Perissodactyla,Equidae,Equus,Equus_hemionus,Kulan,herbivore,wild,Mongolia,feces
X329_Bleak,Actinopterygii,Cypriniformes,Cyprinidae,Alburnus,Alburnus_alburnus,Bleak,omnivore,wild,Austria,feces
X111_West_European_Hedgehog,Mammalia,Insectivora,Erinaceidae,Erinaceus,Erinaceus_europaeus,West_European_Hedgehog,carnivore,wild,Hungary,feces
X292_Central_Bearded_Dragon,Reptilia,Squamata,Agamidae,Pogona,Pogona_vitticeps,Central_Bearded_Dragon,omnivore,wild,Australia,feces
X190_Common_House_Gecko,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_frenatus,Common_House_Gecko,carnivore,wild,Viet Nam,feces
X252_Eurasian_Lynx,Mammalia,Carnivora,Felidae,Lynx,Lynx_lynx,Eurasian_Lynx,carnivore,wild,Austria,feces
X378_Fat_Sand_Rat,Mammalia,Rodentia,Muridae,Psammomys,Psammomys_obesus,Fat_Sand_Rat,herbivore,captive,Austria,feces
X198_Human,Mammalia,Primates,Hominidae,Homo,Homo_sapiens,Human,omnivore,human,Austria,feces
X195_Domestic_Cat,Mammalia,Carnivora,Felidae,Felis,Felis_catus,Domestic_Cat,carnivore,captive,Austria,feces
X381_Wild_Boar,Mammalia,Artiodactyla,Suidae,Sus,Sus_scrofa,Wild_Boar,omnivore,captive,Austria,feces
X89_Fat_Dormouse,Mammalia,Rodentia,Gliridae,Glis,Glis_glis,Fat_Dormouse,omnivore,wild,Austria,feces
X268_Rook,Aves,Passeriformes,Corvidae,Corvus,Corvus_frugilegus,Rook,omnivore,wild,Austria,feces
X236_Pygmy_Slow_Loris,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus_pygmaeus,Pygmy_Slow_Loris,omnivore,wild,Viet Nam,feces
X90_Water_Rail,Aves,Gruiformes,Rallidae,Rallus,Rallus_aquaticus,Water_Rail,omnivore,wild,Austria,feces
X230_Carrion_Crow,Aves,Passeriformes,Corvidae,Corvus,Corvus_corone,Carrion_Crow,omnivore,wild,Austria,gut
X392_House_Mouse,Mammalia,Rodentia,Muridae,Mus,Mus_musculus,House_Mouse,omnivore,wild,Austria,gut
X4_Red_Fox,Mammalia,Carnivora,Canidae,Vulpes,Vulpes_vulpes,Red_Fox,omnivore,wild,Germany,feces
X124_Golden_Jackal,Mammalia,Carnivora,Canidae,Canis,Canis_aureus,Golden_Jackal,carnivore,wild,Austria,feces
